slug,source_C_live,source_C_last_snapshot_date,source_C_snapshot_body_len,source_C_timestamp
pinch,,,59.0,2026-04-24T22:59:44.651952+00:00
corsair,,,60.0,2026-04-24T22:59:44.971384+00:00
proception-inc,,,59.0,2026-04-24T22:59:45.046996+00:00
dalus,True,2026-04-02 00:00:00+00:00,205.0,2026-04-24T22:59:49.920717+00:00
spott,,,53.0,2026-04-24T22:59:46.191460+00:00
afterquery,True,2026-04-14 00:00:00+00:00,217.0,2026-04-24T22:59:42.485812+00:00
roark,True,2026-03-06 00:00:00+00:00,201.0,2026-04-24T22:59:49.897351+00:00
tensorpool,True,2026-03-27 00:00:00+00:00,213.0,2026-04-24T22:59:50.684211+00:00
mastra,True,2026-04-11 00:00:00+00:00,203.0,2026-04-24T22:59:42.890901+00:00
browser-use,True,2026-04-19 00:00:00+00:00,215.0,2026-04-24T22:59:54.999415+00:00
mercura,True,2026-03-13 00:00:00+00:00,213.0,2026-04-24T22:59:55.095516+00:00
lightbox,True,2026-03-09 00:00:00+00:00,216.0,2026-04-24T22:59:55.080302+00:00
rebolt,True,2026-03-11 00:00:00+00:00,207.0,2026-04-24T22:59:47.579533+00:00
sammy-labs,True,2026-02-12 00:00:00+00:00,219.0,2026-04-24T22:59:55.462072+00:00
bluebook,,,60.0,2026-04-24T22:59:52.050866+00:00
tamlabs,True,2026-03-07 00:00:00+00:00,209.0,2026-04-24T22:59:54.965502+00:00
woz,,,57.0,2026-04-24T22:59:45.967543+00:00
ergo,True,2026-03-05 00:00:00+00:00,209.0,2026-04-24T22:59:54.931497+00:00
trycandid,True,2026-03-12 00:00:00+00:00,211.0,2026-04-24T22:59:55.894528+00:00
butter,,,55.0,2026-04-24T22:59:54.318381+00:00
paratus-health,,,63.0,2026-04-24T22:59:54.874450+00:00
copycat,,,59.0,2026-04-24T22:59:54.920595+00:00
cedar,,,65.0,2026-04-24T22:59:55.057877+00:00
instinct,,,68.0,2026-04-24T22:59:55.397615+00:00
thirdlayer,,,56.0,2026-04-24T22:59:57.288066+00:00
axal,,,57.0,2026-04-24T22:59:59.319964+00:00
artifact-2,,,67.0,2026-04-24T22:59:59.702883+00:00
assistant-ui,,,61.0,2026-04-24T22:59:59.961817+00:00
vantel,,,56.0,2026-04-24T23:00:01.086551+00:00
mentra,,,57.0,2026-04-24T23:00:02.292198+00:00
red-barn-robotics,,,68.0,2026-04-24T23:00:02.381894+00:00
fira,True,2026-03-12 00:00:00+00:00,218.0,2026-04-24T23:00:00.604558+00:00
trainloop,,,56.0,2026-04-24T22:59:56.813971+00:00
blindpay,,,58.0,2026-04-24T23:00:01.226733+00:00
