slug,source_A_live,source_B_live,source_C_live,shuttered_v2,shuttered_v2_confidence,sources_n_live,sources_n_dead,sources_n_null
ellipsis,True,True,True,live,high,3,0,0
metofico,True,True,True,live,high,3,0,0
draftaid,True,True,True,live,high,3,0,0
codeant-ai,True,True,,live,low,2,0,1
astro-mechanica,True,True,True,live,high,3,0,0
browser-buddy,False,True,True,live,low,2,1,0
sagaland,False,True,,ambiguous,none,1,1,1
bilanc,False,True,,ambiguous,none,1,1,1
superagent,True,True,,live,low,2,0,1
preloop,,True,,no_label,none,1,0,2
carma,True,True,,live,low,2,0,1
toma,True,True,,live,low,2,0,1
tensorfuse,True,True,True,live,high,3,0,0
trieve,,True,,no_label,none,1,0,2
conduit-ai,True,True,,live,low,2,0,1
elodin,True,True,True,live,high,3,0,0
soundry-ai,True,True,,live,low,2,0,1
aftercare,True,True,True,live,high,3,0,0
shiboleth,True,True,,live,low,2,0,1
hazel-2,True,True,,live,low,2,0,1
andy-ai,True,True,,live,low,2,0,1
delve,True,True,True,live,high,3,0,0
offdeal,True,True,True,live,high,3,0,0
abel,False,False,True,shuttered,low,1,2,0
voicepanel,True,True,True,live,high,3,0,0
opencall-ai,True,True,True,live,high,3,0,0
clarum,True,True,,live,low,2,0,1
edgetrace,True,True,True,live,high,3,0,0
manifold-freight,True,True,,live,low,2,0,1
prosights,True,True,,live,low,2,0,1
centauri-ai,True,True,,live,low,2,0,1
chunkr,False,True,True,live,low,2,1,0
raindrop,True,True,True,live,high,3,0,0
yondu,True,True,True,live,high,3,0,0
heartbyte,False,True,,ambiguous,none,1,1,1
dianahr,True,True,False,live,low,2,1,0
risotto,True,True,,live,low,2,0,1
justai,True,True,,live,low,2,0,1
circleback,True,True,,live,low,2,0,1
betterbasket,True,True,True,live,high,3,0,0
model-ml,True,True,,live,low,2,0,1
artos,True,True,,live,low,2,0,1
oma-care,False,True,,ambiguous,none,1,1,1
cleva,True,True,,live,low,2,0,1
givefront,True,True,,live,low,2,0,1
focal,True,True,True,live,high,3,0,0
brainbase-labs,False,True,,ambiguous,none,1,1,1
sample,True,True,,live,low,2,0,1
lumetric,True,True,True,live,high,3,0,0
alai,True,True,True,live,high,3,0,0
thorntale,True,True,True,live,high,3,0,0
deep24,,True,,no_label,none,1,0,2
triply,False,True,True,live,low,2,1,0
openmart,True,True,True,live,high,3,0,0
zep-ai,True,True,True,live,high,3,0,0
velorum-therapeutics,True,True,,live,low,2,0,1
bitesight,True,False,True,live,low,2,1,0
sonauto,True,True,,live,low,2,0,1
shepherd-2,False,True,,ambiguous,none,1,1,1
hatchet-run,True,True,,live,low,2,0,1
stacksync,True,True,,live,low,2,0,1
terrakotta,True,True,True,live,high,3,0,0
downlink,True,True,False,live,low,2,1,0
spark,True,True,,live,low,2,0,1
camelai,True,True,,live,low,2,0,1
rove,True,True,,live,low,2,0,1
retell-ai,True,True,True,live,high,3,0,0
ocular-ai,True,True,,live,low,2,0,1
adapted,False,True,,ambiguous,none,1,1,1
vista-power,True,True,,live,low,2,0,1
deepnight,True,True,,live,low,2,0,1
xpay,True,True,,live,low,2,0,1
fileforge,True,False,,ambiguous,none,1,1,1
aqua-voice,True,True,,live,low,2,0,1
basepilot,True,True,True,live,high,3,0,0
fluently,True,True,,live,low,2,0,1
miden,True,True,,live,low,2,0,1
veles,True,True,True,live,high,3,0,0
commodityai,True,True,,live,low,2,0,1
marblism,True,True,,live,low,2,0,1
datacurve,True,True,,live,low,2,0,1
lumona,False,False,,shuttered,low,0,2,1
ryse,True,True,,live,low,2,0,1
magic-hour,True,True,,live,low,2,0,1
penciled,True,True,True,live,high,3,0,0
arcane,True,True,,live,low,2,0,1
polar,True,True,,live,low,2,0,1
openfoundry,True,True,,live,low,2,0,1
powder,True,True,True,live,high,3,0,0
eris-biotech,True,True,,live,low,2,0,1
senso,True,True,,live,low,2,0,1
silogy,True,True,,live,low,2,0,1
oddsview,False,True,,ambiguous,none,1,1,1
junction-bioscience,False,True,,ambiguous,none,1,1,1
piramidal,True,True,,live,low,2,0,1
reform,True,True,True,live,high,3,0,0
cocrafter,True,True,,live,low,2,0,1
trueclaim,True,True,,live,low,2,0,1
healia,True,True,,live,low,2,0,1
haplotype-labs,True,True,,live,low,2,0,1
granza-bio,True,True,,live,low,2,0,1
voxops-ai,False,True,,ambiguous,none,1,1,1
integuru,True,True,,live,low,2,0,1
forge,True,True,,live,low,2,0,1
the-new-money-company,True,True,,live,low,2,0,1
fume,True,True,,live,low,2,0,1
renderlet,True,True,,live,low,2,0,1
dragoneye,True,True,True,live,high,3,0,0
quivr,,True,,no_label,none,1,0,2
tower,True,True,True,live,high,3,0,0
mathos,True,True,,live,low,2,0,1
kater-ai,True,True,,live,low,2,0,1
crowdvolt,True,True,,live,low,2,0,1
blacksmith,False,True,,ambiguous,none,1,1,1
yarn-2,False,True,,ambiguous,none,1,1,1
inspectmind-ai,False,True,,ambiguous,none,1,1,1
reprompt,True,True,,live,low,2,0,1
getcrux,True,True,True,live,high,3,0,0
nowhouse,True,True,,live,low,2,0,1
same,False,True,,ambiguous,none,1,1,1
retailready,True,True,,live,low,2,0,1
dropback,True,True,True,live,high,3,0,0
forge-rewards,True,True,,live,low,2,0,1
marr-labs,True,True,,live,low,2,0,1
k-scale-labs,,True,,no_label,none,1,0,2
parcelbio,False,True,,ambiguous,none,1,1,1
indemni,True,True,True,live,high,3,0,0
egress-health,True,True,,live,low,2,0,1
overstand-labs,True,True,True,live,high,3,0,0
youshift,False,True,,ambiguous,none,1,1,1
uncommon-therapeutics,True,True,,live,low,2,0,1
exin-therapeutics,True,True,,live,low,2,0,1
delineate,False,True,,ambiguous,none,1,1,1
onlook,True,True,True,live,high,3,0,0
invo,True,True,,live,low,2,0,1
quantstruct,True,True,,live,low,2,0,1
edexia,True,True,,live,low,2,0,1
enhanced-radar,True,True,,live,low,2,0,1
revise-robotics,False,True,True,live,low,2,1,0
trace,True,True,,live,low,2,0,1
bild-ai,True,True,,live,low,2,0,1
candor,False,True,True,live,low,2,1,0
vetnio,True,True,,live,low,2,0,1
leaping-ai,True,True,True,live,high,3,0,0
flowtel,False,True,,ambiguous,none,1,1,1
tweeksio,True,True,True,live,high,3,0,0
excellence-learning,True,True,,live,low,2,0,1
praxim,False,True,,ambiguous,none,1,1,1
